觀測時間(day),測站氣壓(hPa),測站最高氣壓(hPa),測站最高氣壓時間(LST),測站最低氣壓(hPa),測站最低氣壓時間(LST),氣溫(℃),最高氣溫(℃),最高氣溫時間(LST),最低氣溫(℃),最低氣溫時間(LST),相對溼度(%),最小相對溼度(%),最小相對溼度時間(LST),風速(m/s),風向(360degree),最大瞬間風(m/s),最大瞬間風風向(360degree),最大瞬間風風速時間(LST),降水量(mm)
ObsTime,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp
1,998.8,1001,2022/01/01 0:05:00,997,2022/01/01 14:21:00,14,15.3,2022/01/01 14:42:00,12.5,2022/01/01 0:04:00,100,99,2022/01/01 18:41:00,0.3,11,4.9,149,2022/01/01 0:20:00,4.5
2,997.8,999.7,2022/01/02 8:51:00,996.4,2022/01/02 15:25:00,14.6,15.3,2022/01/02 8:31:00,12.8,2022/01/02 0:52:00,93,85,2022/01/02 14:09:00,0.6,354,6,46,2022/01/02 13:09:00,2
3,996.4,998.2,2022/01/03 8:12:00,994.8,2022/01/03 15:01:00,15.5,17.1,2022/01/03 13:22:00,13.7,2022/01/03 3:31:00,92,77,2022/01/03 13:24:00,0.5,281,4.9,164,2022/01/03 23:20:00,0.5
4,995.4,997.6,2022/01/04 8:56:00,993.4,2022/01/04 23:45:00,15.4,16.6,2022/01/04 23:51:00,14.6,2022/01/04 7:51:00,99,90,2022/01/04 1:13:00,0.7,139,6,113,2022/01/04 9:21:00,22.5
5,991.8,994,2022/01/05 23:12:00,990.1,2022/01/05 14:01:00,17.2,20.1,2022/01/05 10:12:00,15.8,2022/01/05 20:01:00,98,74,2022/01/05 18:51:00,0.8,316,7.1,352,2022/01/05 14:18:00,6.5
6,996.6,999.3,2022/01/06 20:42:00,993.4,2022/01/06 0:01:00,14.4,16.4,2022/01/06 0:02:00,12.6,2022/01/06 23:23:00,95,83,2022/01/06 9:23:00,1.3,42,7.7,353,2022/01/06 4:42:00,25
7,997.8,999.7,2022/01/07 6:32:00,996,2022/01/07 14:51:00,14,14.8,2022/01/07 20:16:00,12.6,2022/01/07 3:21:00,84,74,2022/01/07 19:37:00,0.9,15,6.6,157,2022/01/07 3:42:00,5
8,995.5,997.6,2022/01/08 9:14:00,993.8,2022/01/08 15:01:00,14.1,14.8,2022/01/08 22:03:00,13.1,2022/01/08 3:41:00,82,72,2022/01/08 0:11:00,0.8,123,6,31,2022/01/08 15:18:00,0.5
9,992.6,994.1,2022/01/09 0:01:00,990.2,2022/01/09 14:21:00,14.4,15.4,2022/01/09 15:13:00,13.6,2022/01/09 6:28:00,95,81,2022/01/09 2:25:00,0.4,26,6.6,30,2022/01/09 22:55:00,7
10,991.4,993.2,2022/01/10 8:48:00,989,2022/01/10 14:51:00,14.7,16.8,2022/01/10 13:41:00,13.6,2022/01/10 5:51:00,97,83,2022/01/10 14:13:00,0.7,70,7.7,316,2022/01/10 0:16:00,16.5
11,995.6,998.9,2022/01/11 21:08:00,991,2022/01/11 1:52:00,10.9,14.2,2022/01/11 0:04:00,9.1,2022/01/11 11:51:00,84,56,2022/01/11 23:48:00,1.7,329,8.8,307,2022/01/11 4:01:00,53.5
12,995.5,997.4,2022/01/12 9:04:00,993.6,2022/01/12 15:01:00,10.9,12.5,2022/01/12 23:43:00,10,2022/01/12 1:41:00,90,59,2022/01/12 2:22:00,0.6,316,5.5,267,2022/01/12 0:03:00,3
13,996.6,998.7,2022/01/13 21:44:00,993.8,2022/01/13 1:32:00,11.5,12.5,2022/01/13 0:04:00,10.4,2022/01/13 23:24:00,82,62,2022/01/13 23:52:00,0.9,311,5.5,297,2022/01/13 12:57:00,2.5
14,996,998.9,2022/01/14 9:53:00,992.9,2022/01/14 15:43:00,12.3,14,2022/01/14 20:23:00,10.1,2022/01/14 2:13:00,73,60,2022/01/14 11:52:00,0.8,112,5.5,353,2022/01/14 4:47:00,0
15,995.2,998.1,2022/01/15 19:51:00,993.6,2022/01/15 2:01:00,14.6,17.9,2022/01/15 12:14:00,12.8,2022/01/15 0:11:00,92,76,2022/01/15 12:14:00,0.7,32,6,198,2022/01/15 23:31:00,0.5
16,995.8,997.4,2022/01/16 22:01:00,994.1,2022/01/16 14:21:00,15.9,18.7,2022/01/16 9:42:00,14,2022/01/16 22:43:00,97,86,2022/01/16 8:15:00,0.9,164,7.1,31,2022/01/16 11:12:00,23.5
17,996.3,997.9,2022/01/17 20:53:00,994.7,2022/01/17 13:24:00,14.3,15.3,2022/01/17 13:05:00,13.3,2022/01/17 19:51:00,99,99,2022/01/17 12:41:00,1.2,4,8.8,64,2022/01/17 16:43:00,87
18,995.7,997.6,2022/01/18 9:24:00,993.8,2022/01/18 15:33:00,14,14.7,2022/01/18 19:52:00,13.2,2022/01/18 12:14:00,97,88,2022/01/18 19:52:00,1.6,106,8.8,158,2022/01/18 3:54:00,44
19,994.1,995.6,2022/01/19 9:21:00,992.5,2022/01/19 15:03:00,14.2,15.7,2022/01/20 0:00:00,13.2,2022/01/19 18:11:00,98,82,2022/01/20 0:00:00,1,134,7.1,109,2022/01/19 12:28:00,36
20,994.9,996.5,2022/01/20 9:11:00,993.1,2022/01/20 3:23:00,14.7,16.1,2022/01/20 1:41:00,13.4,2022/01/20 7:51:00,91,81,2022/01/20 12:24:00,1.8,131,9.3,140,2022/01/20 6:12:00,4.5
21,994.2,997,2022/01/21 8:32:00,992.1,2022/01/21 23:21:00,14.9,16,2022/01/21 19:22:00,14,2022/01/21 7:31:00,99,94,2022/01/21 0:31:00,1.8,131,9.3,127,2022/01/21 4:22:00,81
22,989.6,993.2,2022/01/22 9:22:00,986.4,2022/01/22 14:51:00,16.5,17.5,2022/01/22 21:25:00,15.5,2022/01/22 8:31:00,99,99,2022/01/22 15:11:00,1.3,123,9.9,107,2022/01/22 12:58:00,55
23,985.9,988.1,2022/01/23 22:24:00,983.2,2022/01/23 13:21:00,17.9,23.6,2022/01/23 12:35:00,15.9,2022/01/23 19:21:00,98,73,2022/01/23 13:16:00,1.1,329,8.8,199,2022/01/23 13:04:00,0.5
24,990,992.3,2022/01/24 21:53:00,987.4,2022/01/24 1:32:00,15.3,16.2,2022/01/24 0:01:00,14.5,2022/01/24 23:01:00,100,99,2022/01/24 17:57:00,0.9,326,5.5,298,2022/01/24 10:29:00,17
25,992.1,994.2,2022/01/25 9:41:00,990.2,2022/01/25 14:36:00,15.8,17.1,2022/01/25 15:02:00,14.5,2022/01/25 3:41:00,99,93,2022/01/25 11:31:00,0.6,167,4.1,126,2022/01/25 19:09:00,10.5
26,991.7,993.6,2022/01/26 9:51:00,989.7,2022/01/26 15:31:00,17.4,21.9,2022/01/26 13:11:00,15.9,2022/01/26 20:52:00,99,88,2022/01/26 13:11:00,1.1,134,6,176,2022/01/26 4:02:00,7.5
27,992.1,993.6,2022/01/27 23:53:00,990.4,2022/01/27 13:51:00,17.7,22,2022/01/27 12:02:00,16.5,2022/01/27 8:11:00,99,83,2022/01/27 12:01:00,1.1,326,8.2,44,2022/01/27 18:00:00,1
28,992.5,994.3,2022/01/28 9:11:00,990.3,2022/01/28 22:59:00,15.6,17.4,2022/01/28 0:08:00,14.6,2022/01/28 23:51:00,99,99,2022/01/28 0:01:00,1.2,131,9.3,55,2022/01/28 9:41:00,88
29,989.3,991.9,2022/01/29 0:02:00,987,2022/01/29 15:23:00,13.8,14.8,2022/01/29 0:22:00,13.2,2022/01/29 18:11:00,100,99,2022/01/29 5:21:00,1.2,6,8.2,24,2022/01/29 5:35:00,80
30,992.8,997.1,2022/01/30 20:54:00,987.9,2022/01/30 1:31:00,11.2,13.4,2022/01/30 0:05:00,9.4,2022/01/30 15:01:00,97,83,2022/01/30 22:58:00,1.8,325,8.8,335,2022/01/30 13:43:00,67.5
31,995.8,997.5,2022/01/31 9:41:00,994.7,2022/01/31 8:31:00,13.2,15.1,2022/01/31 22:15:00,11,2022/01/31 0:01:00,75,62,2022/01/31 9:41:00,1.5,122,9.3,119,2022/01/31 7:20:00,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,994,996.5,2022/02/01 22:04:00,992,2022/02/01 14:51:00,14.6,16.5,2022/02/01 12:41:00,13.5,2022/02/01 0:41:00,99,93,2022/02/01 0:08:00,1.1,14,11.5,37,2022/02/01 18:54:00,45
