"日/月
",1,2,3,4,5,6,7,8,9,10,11,12
2021/01,12.5,20.3,20.7,23.5,23.7,25.6,28.1,26.4,28,27,22.6,14.7
2022/02,14,17.2,15.1,23.6,23.9,26.8,28.8,27.2,28.3,26.6,22.9,16
2021/03,17.5,17.6,17,21.3,23.7,27.9,28.4,27.1,28.7,27.3,22.4,15.9
2021/04,17.8,19.3,17.2,17.2,24.1,26.7,28.3,27.4,28.4,27.6,22.2,17.5
2021/05,15.6,20.5,19,15.9,20.3,23.3,28.2,27.9,28.3,27.2,23.9,18.9
2021/06,14.4,20.1,18.5,17.4,21.4,22.4,27.3,27.3,28.6,27,23.3,19.4
2021/07,10.3,20.5,17.6,19,24.8,25,28,26.2,29,26.7,24.3,18.3
2021/08,6.7,18.6,17.6,17.4,23.9,26.2,28.4,28,28.5,27.1,17.8,19.2
2021/09,7.7,16.8,18.7,15.6,24.8,26.7,28.2,27.5,28.4,27.2,15.8,21.3
2021/10,11.9,19.4,18.2,18.9,26,27.1,28.1,28.3,28.7,27.1,17.7,20.9
2021/11,11.3,18.9,21,22.3,26.2,27.6,28.2,28.2,27.1,26.4,19.1,19.6
2021/12,10.4,19.6,18.9,22.5,27,27.6,28.1,28.2,25.4,26.7,19.6,18.3
2021/13,13.3,20.1,17.3,21.3,26.8,28.4,28.2,27.9,27.9,26.3,17.3,17.8
2021/14,17.3,19.4,19.2,17.9,26.7,28.6,28.1,27.5,28.5,26.6,19.4,19.9
2021/15,19.1,18.8,21.2,18.6,26.9,28.7,28,27.1,27.4,27,21.5,21.9
2021/16,17.1,18.9,21.5,19.9,27,29.2,28.2,27.6,27,25.6,23.3,21.8
2021/17,12.8,15.3,21.5,21.1,27.4,29.1,28,27.8,27.6,21.9,22.7,17.2
2021/18,13,13.3,22.4,18.9,26.7,29.2,27.7,27.1,27.3,22.5,21.5,14.5
2021/19,16.3,14.5,19.6,20.7,27.2,29.2,28.1,26.9,27.9,22.9,22.6,15.5
2021/20,20.2,17.7,20,22.4,27.2,29,28.5,27.9,28.6,22,22.7,18.6
2021/21,21.4,19.4,15.4,22.8,27.4,27.3,27.9,28.2,28.7,21.4,23,18.7
2021/22,20.7,20.5,13.9,23.9,26.4,25.2,28,28.2,28.6,20.1,17.2,17.5
2021/23,19.1,20.2,17.3,22.9,26.5,25.8,27.8,28,28,21.3,15.4,20.3
2021/24,16.1,20.8,16,23.4,25.8,26.5,26.4,28,27.5,20.7,17.3,19.1
2021/25,17.3,20.8,17.4,22.5,24.6,26.9,28.9,28.1,27,22.9,19.5,15.6
2021/26,17.6,18.9,20.8,21.9,27.6,27.8,29.1,27.8,26.5,23.6,19.7,12.9
2021/27,17,17.6,20.1,22.1,28.3,28.2,29.2,27.7,26.7,23.1,20,12.7
2021/28,15.2,17.6,21.6,20.4,26.1,28.2,28.7,27.7,26.4,22.6,21.4,15.9
2021/29,13.2,--,20.3,18.1,22.9,28.4,28.7,27.8,26.7,22.3,22.4,17
2021/30,16.5,--,20.5,21.7,23.7,28.5,29.2,28,27.2,22.5,19.5,14.7
2021/31,20,--,20.3,--,24.6,--,28.3,28,--,23.2,--,15.1
2022/01,16,16.2,22.2,15.4,17.3,26.3,26.9,29.8,27.6,27,22.2,16.9
2022/02,17,16.4,18.5,14.1,16.2,26.2,27.4,27.1,26.6,27.1,22.7,18.3
2022/03,18.1,15.8,19.7,15.6,20.7,26.4,27.4,28.5,27.6,27,22.6,21.8
2022/04,17.5,13.9,20.6,18.4,22,26.4,28.5,28.8,26,27.2,20.6,20.2
2022/05,18.6,13.5,19.8,21.3,22.4,27.1,28.4,29,28.4,24.8,20,17.7
2022/06,16.2,13.4,17.4,20.4,22.8,25.2,28,29.3,26.5,25.2,20.5,17.6
2022/07,15.9,17.1,14.7,20.3,23.5,21.7,28.1,29.1,27,25,22.4,17.9
2022/08,15.9,15.5,16.3,21.8,23.5,21.5,28.4,29.1,27,24.1,23,18.4
2022/09,16.7,16.3,19.7,22.9,23,24.3,28.6,29.1,26.5,23.8,24.2,18.6
2022/10,17,16.7,21.1,23.9,24,25.8,28.2,29.2,26.4,20.9,24.1,19.6
2022/11,12.5,19.3,20.5,24.1,23.4,23.7,28.3,29.6,26.3,21.4,24.1,16.9
2022/12,13.3,18.7,22.3,24.6,24.2,23.6,28.2,29.2,25.8,22.8,24.7,16.5
2022/13,13.5,17.5,22.6,24.2,22.6,26.2,28.7,29.4,25.4,23.8,24,15.3
2022/14,14.2,15.2,23.1,20.6,20.2,25.8,29.1,29.1,26.9,24.2,23,14.2
2022/15,16.5,15.9,23,17.8,18.1,24.2,29,29,27.2,23.9,22.8,15.7
2022/16,17.4,16,23.1,17.9,16.6,24.5,29.6,28.8,26.8,25,22.1,18
2022/17,15.8,15.5,22.2,18.1,19.8,25.7,29.5,28.7,26.4,21.8,23.4,12.7
2022/18,15.7,16.8,18.4,18.1,22.2,26.7,28.5,28.6,26.6,20.8,23.9,9.1
2022/19,16.4,14.9,19.9,17.9,23.3,27.5,29.2,29.3,26.1,21.4,24.1,14.4
2022/20,16.7,10.1,20.7,19.4,22.7,27.4,28.9,29.7,24.9,23,23.7,18.9
1011/21,16.3,12.8,18.8,21.1,22,27.2,29.4,29.6,25.4,24.4,23.3,16.3
2022/22,19,14,16.7,24.4,21.8,28,28.9,28.9,25,24.4,23.8,15.2
2022/23,19.6,12.2,14.8,24.6,23,27.9,29.5,29.3,25.2,23.3,21,11.6
2022/24,17.8,12.5,18.9,24.8,21.7,28.1,29.3,29.2,24.6,21.6,20.8,11.6
2022/25,18.2,15.3,20.9,25.4,22.3,27.9,29.2,29.1,24.9,21.2,21.2,12.1
2022/26,19.9,18.6,19.7,25.9,22,27.6,29.3,29.2,25.9,23.3,21.3,15.4
2022/27,19.8,18.2,16.3,24.8,21.4,28.2,29.4,29.3,26.9,24.3,22.7,15.8
2022/28,16.9,21.4,16.1,22.8,23.9,28.1,28.7,28.3,26.1,23.8,23.4,16.9
2022/29,15.3,--,20.5,22.2,26,27.6,28.8,29,27.3,23.3,23.8,15.9
2022/30,13.5,--,21.6,19.2,26.3,27.5,28.8,28.9,27.2,23.4,17.7,15.2
2022/31,14.6,--,19.2,--,24.8,--,29.3,28.9,--,22.4,--,16.4
2023/01,18.7,19,18.1,18.7,20.8,25.3,28.6,27.2,28,26.7,24.2,15.9
2023/02,17,16.1,14.8,20.1,22.9,26.5,28.3,27.7,28.4,26,23.8,17.2
2023/03,14.7,15.8,15.3,21.5,24.1,26.5,28.6,25.6,27,26.2,24.7,18
2023/04,16.3,16.3,16.7,23.1,24.8,25.7,29.2,27.1,26.4,25.5,24.9,19.6
2023/05,18.8,18.2,17,22.5,25,26.8,29.7,28.5,26.6,23.9,24.9,19.8
