"日/月
",1,2,3,4,5,6,7,8,9,10,11,12
2021/01,0,0,0,0,0,11,0,0.5,0,0,4,0
2022/02,2,5,34.5,0,0,0,0,0,0,0,2.5,0.5
2021/03,6.5,0,2.5,0.5,0,0,0,28.5,0,0,1,0
2021/04,40,0,1,8.5,0,145,0,0,0,0,0.5,0
2021/05,41,0,1,0,28.5,35,0,1.5,0,2,0.5,10.5
2021/06,43.5,0,36.5,0,0.5,11.5,0.5,9.5,1,3.5,0,51
2021/07,86.5,0,7,0,0,0.5,0,87.5,0,0.5,0,2
2021/08,27,15,10.5,7,4,0.5,0,0,0,0,25.5,0
2021/09,0.5,4,9.5,10,0,0,0,48.5,0,0,0,0
2021/10,0,10,7.5,3,0,1,0,1,0,4.5,0,0
2021/11,32,39.5,0,0.5,0,0,0,0,1.5,106,0,3.5
2021/12,1,60.5,2.5,0,0,0,0,0,146,47.5,2.5,74.5
2021/13,0,18.5,0.5,3,0,0,0,6.5,0,4.5,26.5,41.5
2021/14,0,0,0,5.5,0,0,0,8,0,1,1,0.5
2021/15,0,0,0,2,0,0,0,0,5.5,0,0,0
2021/16,22,1,0,0.5,0,0,0,0,0,60.5,0,0
2021/17,45.5,8,0,0.5,0,0,0,0,1.5,70.5,0,27
2021/18,0,0,0,0,11,0,0,1,0,5.5,1.5,4.5
2021/19,0,0,0,0,8.5,0,0,32,0,3,16.5,0
2021/20,0,0,0.5,0,0,0,1.5,0,0,3,5.5,0
2021/21,0,0,17,0.5,25,0,62,0,0,26,0,15
2021/22,6.5,0,19.5,0,0,85,64,0,0,76,29.5,14
2021/23,7.5,11,0,7.5,0,22,52,0,0,28.5,21.5,3.5
2021/24,3.5,1,15,3.5,1,11.5,132,8,8.5,49.5,0,2
2021/25,0,0,0.5,0.5,1,1,4.5,0,0,29,14.5,71
2021/26,14.5,1,0.5,0.5,0,0,2.5,0,0,0,51,84
2021/27,14,13,0,3.5,0,0,0,0,0.5,0.5,26.5,27.5
2021/28,1,0.5,0,14,0,0,1.5,0,0,0,2,3.5
2021/29,0,--,0,32.5,8,0,14,0,0,1,0.5,1
2021/30,0,--,0,0,58,0,20.5,0,0,1,18.5,0
2021/31,0,--,0.5,--,59,--,41,0,--,3,--,2.5
2022/01,1.5,32,0,14.5,25,0,0,9,27.5,0,90.5,54.5
2022/02,5,27,2.5,66.5,33,0,13,11,110,0,28.5,41.5
2022/03,0.5,41,0,14.5,6,0,0,0,69,0,17,8
2022/04,9,29.5,0,0,3,0,8.5,0,147.5,0,36.5,13
2022/05,1.5,11,0.5,0,2.5,0,8,0,0,19,23,37
2022/06,35.5,7.5,3.5,0,1,11,1,0,3,32,7.5,30.5
2022/07,12.5,2.5,29.5,0.5,0.5,51.5,0,0,0.5,69,11,40.5
2022/08,1.5,5,0,1,2,64.5,0,0,0,39,25,42.5
2022/09,2,12.5,0,0,1,9,0,0,0,26,1.5,44.5
2022/10,8,6.5,0,0,4.5,1,0,0,0,28,0,88.5
2022/11,12.5,0,0,0,18.5,2.5,0,0,34,8,2.5,127
2022/12,2.5,2.5,0,0,22.5,17,0,0,73.5,48,0,37
