日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,1,0,0,0,0,0,0,15.5,0,0,6.5,0
2,7,0,59,0,0,0,0,0,0,0,6.5,0
3,20.5,0,4.5,1.5,0,0,0,4.5,0,0,4.5,0
4,121.5,0,1,6,0,92.5,0,1,2,0,0.5,0
5,89.5,0,0.5,0,43.5,59.5,0,1.5,0,0,0,76.5
6,52.5,0,39.5,0,0.5,38,0,11.5,0,2.5,0.5,77.5
7,104.5,0,37.5,0,0,0.5,1,91.5,0,0,0,0
8,32,8.5,35.5,19,17,0,0,1,0,0,109,0
9,0,7.5,13.5,28,0,0,0,37,9.5,0,0,2
10,0.5,20.5,17,17.5,0,5.5,0,0,0.5,4,0,17.5
11,46.5,77,0.5,0,0,0,0,0,1.5,77,0,21
12,2,27,1.5,0,0,0,0,0,127,81.5,8.5,109
13,0,4,0,9.5,0,0,0,14.5,0,1.5,56.5,89.5
14,0,4.5,0,24,0,0,0,51,0,0,4,8
15,0,0,0,15,0,0,0,0,34,1.5,0,0
16,15.5,1,0,0.5,0,0,0,0,0,0.5,0,0
17,7,18,1,0.5,0,0,0,0,59.5,1.5,0,8
18,0,0,0.5,0,0,0,0,0,0,0,62,0
19,0,0,0,0,5.5,0,0,1.5,0,1,33,0
20,0,0,4,0,0,0,0.5,0,0,7.5,10,1.5
21,0,0,46,12,4.5,4,44,0,0,116,0,56.5
22,14.5,0,13.5,1.5,0,101,65.5,0,0,121,138.5,55
23,7.5,16,0.5,7.5,0,38.5,30.5,0,0,49,18,10.5
24,0,6.5,18,1,6,14,144.5,3.5,12.5,88.5,0.5,7.5
25,0,0,0.5,5,3,1.5,9.5,0,0,47,28,52
26,10,7.5,0,0.5,0,0.5,11,0,0,5,81,50.5
27,20.5,52,0,4.5,0,0,0,0,0,1,62,30
28,11,0.5,0,14.5,0,0,0.5,0,0,0,3.5,12
29,0,--,0,31.5,38.5,0,14,0,0,0.5,0,3
30,0,--,0,0,80.5,0,10.5,0,0,2,22.5,1
31,0,--,4.5,--,89,--,105,0,--,31,--,6.5
總和,563.5,250.5,298.5,199.5,288,355.5,436.5,234,246.5,639.5,655.5,695
日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,4.5,45,0,5.5,44.5,0,0,0,5,0,69,69.5
2,2,67,4,73.5,35.5,0,5.5,12,47.5,0,53,69.5
3,0.5,108.5,0,11.5,17.5,0,1,0,25,0,34,22.5
4,22.5,100.5,0,0,21,0,21.5,0,125.5,0,77.5,117
5,6.5,15,0,0,22.5,0,1,0,0.5,0,26.5,157
6,25,18,13.5,0,2,31,1,0,12.5,24,20.5,18
7,5,13.5,97.5,0,0,54,0,0,0,37.5,39,223.5
8,0.5,2,0,0,4.5,75,0,0,0,13,26,61.5
9,7,31,0,0,4.5,23,0,0,0,56.5,0,150
10,16.5,27.5,0,0,9,2,0,0,0,15.5,1,46
11,53.5,0.5,0,0,13,22,0,0,5,3.5,15,107.5
12,3,10.5,0,0,17,23,0,2.5,44,38.5,0,30.5
13,2.5,32,0,0,28,0,0,0,25.5,4,0.5,24
14,0,54,0,24.5,125.5,0.5,0,0,1,5,0,31
15,0.5,19,0,40,82,12,0,0,0.5,66.5,2,71
16,23.5,3,0,0,117.5,7.5,0,0,0,203.5,108,85
17,87,&,1.5,1,11.5,0,0,0,0,87,0,120
18,44,171.5,0.5,0,7.5,0,0,4,0,14.5,4.5,0
19,36,104.5,12.5,3,52.5,0,1.5,0,0,0,1,0
20,4.5,58,0.5,3.5,6,0,0,0,0,0,1.5,0
21,81,92,1,1,2.5,0,0,0,3,34.5,9.5,6.5
22,55,102.5,34.5,0,18,0,0,0,0,77.5,0.5,0
23,0.5,89.5,52,0,2.5,0,0,0,0,16.5,59,0
24,17,14,1.5,2,55,0.5,0,0,34.5,0,128.5,0
25,10.5,55.5,2,0,104.5,3,0,0.5,15.5,0,57.5,0
26,7.5,0,36,0,110.5,0,0,0,35.5,0,4.5,0
27,1,0,44.5,0.5,65,3,0,0,0,0.5,3,2.5
28,88,0,81,1.5,1,0,0,24,0,20,0,13.5
29,80,--,15,23,0,0,8,0,0,0,3.5,42.5
30,67.5,--,0,16.5,2,0,16.5,0,0,7,128,92.5
31,0,--,41,--,36.5,--,0,5.5,--,233,--,43.5
總和,752.5,1234.5,438.5,207,1019,256.5,56,48.5,380.5,958,873,1604.5
日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,25,0,0,7.5,0,1.5,0,21,34.5,2,0.5,44
2,41.5,11.5,0,0,0,0,2,4,2.5,1,0,19
3,29.5,6.5,0,0,0,0,0,123.5,7,9,0,64
4,27,34,0,0,0,14,0,9,17,55.5,0,94
5,26,79.5,0,1,0,9,0,3,0,87.5,0,12
6,31,20,0,0,0.5,0,0,0,12,20,6.5,3.5
7,0.5,15.5,0,33.5,41.5,0,0,0,3,4.5,0,0
8,0,55,0,0,78,0,0,0,7.5,20.5,0,0
9,15.5,6,0,0,0,27.5,0,0,0,93.5,0,0
10,35.5,15.5,0,0,0,1,0,17.5,0,57.5,62.5,0
11,8,0,0,0,0,10,0,4,0,5.5,95,0
12,0,0,27,10.5,3.5,10,0,0.5,0,0,89.5,71
13,0,13,4.5,3,3.5,0,0,0,0,0,30.5,16
