日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,0,0,0,0,0,54,0,0,0,2,0.5,0
2,0,0,22,0,0,0.5,2,44.5,0,0,1,0
3,0,0,2.5,0,0,0,0,79,0,0,0.5,0
4,5.5,0,0.5,0,0,139.5,0,15.5,15.5,0,0,0
5,23,0,0.5,0,1,51,0,1,0,0.5,0,1
6,9.5,0,22.5,0,0,9.5,2,10,11,0,0,4.5
7,33,0,9,0,0,6.5,0,113.5,0,0,0,18.5
8,21.5,4,2.5,3,8,0.5,0,0,0,0,40,0
9,0,0.5,0.5,2,0,2.5,0,3.5,0,0,0.5,0
10,0,2,0,0,0,0,0.5,6.5,0,0.5,0,0.5
11,21.5,20,0,0,0,0,0,88,1.5,177.5,0,0
12,3,19,0,0,0,0,0,8,136.5,109,6.5,4
13,0,19,1.5,2,0,2,0,1.5,0,36.5,12.5,11
14,0,0,0,0,0,0,0,0.5,0,1,2.5,0
15,0,0,0,0,0,0,0,0,0,0,0,0
16,3.5,0,0,0,0,0,0,13,7.5,77,0,0
17,3,9,0,1,0,0,0,0,40,9,0,2
18,0,0,0,0,23,0,0,5,11,0,6.5,0
19,0,0,0,0,22,0,0,25.5,0,0,1,0
20,0,0,0,0,0,0,0,0,0,0.5,2.5,0
21,0,0,7.5,0,4.5,0,51,0,9.5,20,0,8
22,0.5,0,19,0,0,16.5,73.5,3.5,0,40,11,10
23,1.5,0,0,5.5,9.5,54.5,77,0,0,11.5,9.5,0.5
24,0,0,16.5,0,127.5,16,143,0,0,38.5,0,1
25,0,0,0,1,0.5,19.5,0,72.5,0.5,17.5,0.5,20.5
26,2.5,0,0,0,0,0,20,0,0,0,23.5,15
27,1.5,2,0,8,0,0,0,0,0,0,12,9.5
28,5.5,0,0,14,6.5,0,0,0,0,0,0,0.5
29,0,--,0,32.5,2,0,8.5,0,0,1.5,0,0
30,0,--,0.5,0,34.5,0,1,0,0,0.5,3,0
31,0,--,1,--,56,--,40,0,--,0,--,0
總和,135,75.5,106,69,295,372.5,418.5,491,233,543,133.5,106.5
日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,0,12.5,0,3.5,18,0,0,0,47,0,25.5,6
2,0,7.5,0,51.5,21.5,11,32.5,5,145.5,0,4,12
3,0,34,0,19.5,1,28,0.5,0,93.5,0,0,0
4,1,21.5,0,0,5.5,3.5,1.5,6.5,46.5,0,7,7.5
5,0.5,2.5,0,0,0,0,18,0,8,1.5,2,10
6,10,1,1,0,0.5,23,1.5,0,13.5,3.5,0,2.5
7,8.5,4.5,33.5,0,0,44,5,0,48,29,0.5,19
8,1,0,0,0,0.5,39.5,0,0,0,24.5,5.5,19
9,0.5,8,0,0,1.5,8,0,0,0,6.5,0,22
10,1,1,0,0,9,1,0,0,0,17.5,0,47.5
11,9.5,0,0,0,6,33.5,0,0,86,0,0,52.5
12,0,0.5,0,0,50,11,0,1.5,124.5,5.5,0,13
13,1,18,0,0,4.5,0,0,0,72.5,17,0,13.5
14,0,32,0,20,33,0,0,10,8,85,0,15.5
15,0,1,0,3,23,33,0,0,0,95.5,0,18
16,0,4.5,0,0,42.5,12,0,0,0,131,3.5,18.5
17,16,10,12,1,9.5,1.5,0,0,0,13.5,0,20.5
18,8.5,14.5,1.5,0,0,0.5,0,2,0,19.5,0,0
19,0.5,32.5,0,4.5,2,26,5.5,0,0,0,0,0
20,2,43.5,0,2,0,0,5,0,0,0,0.5,0
21,29.5,33,4.5,0,0.5,14,0,0,0,1,0,5
22,40,44.5,4,0,0.5,9.5,0,0,0,25.5,0,0
23,0,52,17.5,0,2.5,9,0,0,0,13.5,17.5,0
24,3,4,1.5,9.5,32.5,84.5,0,34,13.5,0.5,60.5,0
25,0,0,0.5,0,103,24.5,0,52.5,6.5,0,28.5,0
26,0,0,16.5,0,60,1,0,0,9.5,0,1.5,0
27,0,0,40,0,46.5,4.5,0,0,0,0,0,0
28,4,0,65.5,0,0,0,0,1.5,0,1.5,0,4.5
29,9.5,--,15.5,9,0,0,2,0,0,13,0,4
30,6.5,--,0,0.5,5.5,0,1,8.5,0,20.5,13.5,8.5
31,0,--,2,--,129.5,--,0,16.5,--,78.5,--,4
總和,152.5,382.5,215.5,124,608.5,422.5,72.5,138,722.5,603.5,170,323
日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,3.5,0,0,6,0,22.5,0.5,34,10,0,0,18.5
2,7,1.5,0,0,0,0.5,17.5,19,24.5,4,0,1
3,6,0,0,0,0,5.5,0.5,19,26,28,0,0
4,1,0,1.5,0,0,112,0,0,33.5,58,0,46
5,1,10.5,0,2,0,4.5,0,0,1.5,33.5,0,6
6,6.5,10,0,0,3,0,0,0,173,1,0,7.5
7,0,0,0,10.5,17.5,1.5,0,0,4,10,0.5,0
8,0,0,0,0,28,0,0,0,12.5,43,0,0
9,4.5,0,0,0,0.5,51,0,0,0,20.5,0,0
10,1.5,11,0,0,0,63,0,16,0,10.5,15.5,0
11,0.5,0,0,0,0,3,26.5,24,0,4,4,0
12,0,0,0,0,7,0.5,0,0.5,0,0,16.5,0.5
13,0,1,8,0,2.5,0,0,0,0,0,14.5,0
14,0,11.5,2,0,0,4.5,0,0,0,0,0.5,0
15,3.5,0.5,0,30.5,0,7.5,0,0,0.5,0,0.5,0
16,6.5,0,0,0,0,44.5,0,25,0,0,15.5,5.5
17,1.5,0,0,0,0,0.5,0,46,0,0,1,3
18,3.5,0,0,0,0,0,4,3,8,0,0,0
19,0,1.5,0,46,26,0,0.5,0.5,0,0,0,1
20,1,0.5,0,41,0,0,0,39,0,14.5,0,25.5
21,1,0.5,0,4,6,0,19,12,0,4,0,20.5
22,0,2,0,0,21,0,13,25,0,0,0,1.5
23,5,3.5,0,0,12,49.5,5.5,8.5,0,0,0,8.5
24,32.5,5,0,8,6.5,75,0,0.5,0,0,0,15
25,0,11,22.5,0,0.5,0,7.5,0,0,0,0,0.5
26,0,0,6,2,0,0,99,0,0,0,9,0
27,1,0,6,0,0,0,5,3.5,1,0.5,1,0
28,0,0,4,0,0,0,2,0,0,14,0,6.5
29,0,--,0.5,0,0,2,0,0,0,0,0,4
30,0,--,1.5,1,0.5,4.5,14.5,2,0,0,5.5,1
31,0,--,1.5,--,164,--,0,17.5,--,0.5,--,0
總和,87,70,53.5,151,295,452,215,295,294.5,246,84,172
日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,0,0,22.5,36.5,8,29.5,6.5,0,0,1,2.5,0
2,0,0,9.5,0,8,36,73.5,0,0,21,0,0
3,11.5,1.5,0.5,0,0,3,8.5,0,0,42.5,0,0
4,0,0,0,6,29.5,0,0,0,0,17,0,0
5,0,0,0,0,0,14,0,0,0,4,22,0
6,0,0,2.5,0.5,0,7.5,4.5,0,0,0,4.5,0
7,0,22.5,11,2.5,0,0,23,28,17.5,2,4.5,8.5
8,0,32,0,8,0,1.5,19,0.5,3.5,42,2,9
9,2,22,0,5,0,39,0,41,0,0,5.5,0.5
