日/月,1,2,3,4,5,6,7,8,9,10,11,12
202101,7.1 / 50,7.9 / 160,4.7 / 120,3.5 / 240,4.5 / 240,3.5 / 150,10.2 / 260,3.1 / 180,4.8 / 120,4.2 / 60,7.4 / 40,8.7 / 20
2,9.5 / 70,9.0 / 30,10.5 / 20,2.4 / 70,5.7 / 80,4.7 / 160,7.2 / 260,7.2 / 290,6.3 / 160,5.1 / 110,6.5 / 40,6.0 / 20
3,9.2 / 60,7.5 / 120,7.0 / 90,4.3 / 360,10.0 / 120,5.1 / 180,5.7 / 160,5.3 / 280,4.9 / 160,7.3 / 110,7.8 / 70,6.1 / 10
4,9.8 / 50,6.6 / 90,5.5 / 320,9.2 / 40,10.6 / 160,6.3 / 70,8.3 / 160,3.8 / 40,4.5 / 120,7.6 / 110,7.6 / 90,8.0 / 60
5,10.2 / 30,8.3 / 160,6.8 / 90,6.9 / 10,8.9 / 40,7.2 / 60,8.8 / 150,3.5 / 320,5.3 / 120,8.3 / 90,7.6 / 160,11.0 / 70
6,10.8 / 40,4.9 / 290,6.2 / 20,5.3 / 30,3.8 / 50,5.7 / 60,11.8 / 160,3.6 / 360,6.6 / 160,8.2 / 90,5.7 / 280,10.5 / 40
7,11.6 / 20,6.5 / 90,8.0 / 30,6.6 / 60,6.0 / 280,3.5 / 60,6.1 / 160,6.6 / 300,4.2 / 130,7.2 / 110,4.5 / 70,8.6 / 40
8,10.5 / 10,10.3 / 50,8.0 / 50,7.6 / 30,5.1 / 270,5.7 / 160,6.1 / 160,7.8 / 300,5.6 / 120,8.0 / 110,9.1 / 20,9.2 / 60
9,8.1 / 360,10.9 / 70,6.5 / 40,8.1 / 40,2.6 / 140,4.0 / 120,6.0 / 160,3.2 / 160,5.6 / 120,7.9 / 90,6.5 / 10,7.1 / 90
10,8.9 / 60,12.5 / 120,9.4 / 60,7.6 / 30,5.6 / 150,8.8 / 160,5.9 / 160,5.0 / 160,6.2 / 120,7.3 / 90,4.1 / 10,9.6 / 60
11,9.7 / 360,12.1 / 80,6.3 / 160,9.3 / 120,5.5 / 160,6.9 / 150,6.1 / 160,5.0 / 160,11.2 / 120,12.7 / 50,3.5 / 70,7.7 / 70
12,6.6 / 360,10.2 / 50,7.3 / 60,6.9 / 150,4.4 / 200,8.1 / 160,5.6 / 160,4.9 / 150,16.0 / 120,13.4 / 90,8.1 / 60,8.5 / 30
13,3.8 / 120,7.5 / 50,6.5 / 40,7.2 / 170,5.4 / 160,4.7 / 280,6.1 / 160,4.6 / 270,12.7 / 260,11.6 / 120,7.6 / 10,10.6 / 40
14,5.6 / 120,4.3 / 330,5.5 / 90,9.3 / 40,7.3 / 180,9.4 / 270,5.7 / 160,4.2 / 160,8.5 / 270,8.5 / 120,7.3 / 40,8.4 / 90
15,3.3 / 70,7.1 / 40,8.1 / 160,6.8 / 20,6.0 / 160,11.9 / 270,6.8 / 120,4.5 / 160,4.9 / 280,6.7 / 110,8.3 / 60,7.2 / 150
16,9.9 / 40,7.9 / 160,5.1 / 150,5.5 / 360,7.3 / 160,15.6 / 270,5.6 / 120,4.9 / 160,2.8 / 110,7.7 / 20,6.7 / 110,6.3 / 160
17,8.8 / 30,9.8 / 30,4.0 / 20,7.7 / 360,5.0 / 140,15.6 / 270,5.1 / 90,4.4 / 240,5.2 / 90,10.2 / 10,7.2 / 90,9.6 / 20
18,6.9 / 40,7.5 / 360,3.9 / 360,10.0 / 60,3.8 / 140,14.8 / 270,5.3 / 90,5.0 / 290,6.9 / 90,6.0 / 40,6.4 / 340,8.1 / 30
19,9.0 / 90,4.6 / 160,4.5 / 160,8.1 / 90,3.9 / 170,11.9 / 260,6.1 / 90,3.5 / 190,5.4 / 150,5.8 / 30,8.0 / 50,6.6 / 70
20,7.2 / 120,4.3 / 160,5.5 / 40,9.7 / 120,5.5 / 180,8.2 / 280,6.2 / 60,5.1 / 160,6.8 / 160,5.4 / 60,8.4 / 70,6.4 / 90
21,7.8 / 120,6.3 / 180,10.6 / 40,8.1 / 90,4.4 / 180,9.5 / 280,9.8 / 360,4.6 / 160,6.2 / 160,8.3 / 10,3.1 / 110,7.8 / 10
22,7.5 / 90,4.2 / 160,8.4 / 30,8.2 / 120,4.9 / 320,6.3 / 70,9.3 / 20,3.8 / 320,3.8 / 280,10.2 / 30,11.8 / 10,9.8 / 10
23,6.5 / 20,8.0 / 50,8.3 / 120,6.8 / 360,3.0 / 140,8.0 / 80,13.5 / 360,5.5 / 260,5.2 / 90,10.5 / 60,6.9 / 20,6.7 / 30
24,6.0 / 30,8.4 / 120,9.8 / 300,6.5 / 60,5.7 / 50,5.9 / 60,18.6 / 280,4.4 / 190,8.0 / 80,7.3 / 40,6.6 / 50,7.2 / 310
25,3.1 / 360,6.3 / 120,8.1 / 350,7.2 / 80,4.7 / 70,4.5 / 330,15.0 / 270,5.8 / 160,7.9 / 60,8.9 / 20,7.7 / 50,11.2 / 30
26,4.4 / 30,6.3 / 360,5.3 / 50,6.2 / 120,6.3 / 180,7.5 / 280,9.8 / 270,6.0 / 160,6.0 / 60,8.4 / 70,10.0 / 40,10.4 / 20
27,7.5 / 50,8.3 / 360,5.1 / 290,8.8 / 150,7.3 / 270,7.5 / 270,6.9 / 260,5.1 / 140,4.0 / 50,7.3 / 50,12.2 / 50,8.5 / 30
28,8.3 / 360,4.7 / 330,5.3 / 250,3.9 / 330,6.5 / 230,12.1 / 260,4.5 / 160,5.8 / 140,4.1 / 40,5.8 / 40,11.0 / 120,5.6 / 60
29,8.3 / 40,-- / --,2.8 / 310,4.6 / 360,5.7 / 90,15.3 / 260,4.2 / 160,5.6 / 110,3.3 / 340,5.0 / 20,8.5 / 120,5.7 / 320
30,8.6 / 120,-- / --,4.4 / 280,5.5 / 260,4.5 / 80,13.3 / 260,4.4 / 290,5.9 / 110,4.2 / 80,5.5 / 20,9.0 / 20,6.6 / 30
31,8.2 / 160,-- / --,4.2 / 160,-- / --,4.9 / 50,-- / --,7.5 / 270,6.3 / 120,-- / --,7.9 / 30,-- / --,8.9 / 60
平均,7.8,7.6,6.5,6.9,5.6,8.4,7.7,5,6.2,7.9,7.5,8.1
日/月,1,2,3,4,5,6,7,8,9,10,11,12
202201,6.4 / 20,9.2 / 50,5.5 / 280,9.7 / 30,6.9 / 20,4.5 / 180,7.2 / 120,6.1 / 150,12.9 / 10,5.7 / 140,11.6 / 50,10.3 / 40
2,6.2 / 20,9.8 / 40,8.6 / 60,9.7 / 20,7.1 / 40,4.3 / 260,3.1 / 90,3.3 / 310,11.8 / 360,6.1 / 140,11.3 / 60,9.9 / 40
3,6.0 / 30,9.1 / 30,7.0 / 70,8.2 / 30,9.9 / 60,4.6 / 220,4.8 / 310,6.5 / 150,9.7 / 40,5.7 / 140,8.7 / 60,5.9 / 20
4,8.7 / 60,8.7 / 30,7.2 / 290,9.6 / 60,8.7 / 90,5.9 / 270,4.1 / 240,9.6 / 160,19.2 / 330,4.8 / 150,10.1 / 40,8.6 / 20
5,6.2 / 330,9.0 / 50,7.5 / 60,5.6 / 120,6.1 / 30,8.0 / 250,3.2 / 180,4.7 / 160,12.1 / 260,8.7 / 50,9.1 / 50,11.3 / 20
6,9.4 / 20,10.0 / 50,10.5 / 70,6.4 / 120,5.3 / 20,14.1 / 270,4.8 / 160,7.4 / 150,6.1 / 70,9.2 / 60,9.0 / 60,10.6 / 60
7,7.9 / 40,12.8 / 160,10.4 / 360,5.3 / 60,5.0 / 10,4.4 / 160,5.4 / 160,8.9 / 150,6.4 / 60,8.9 / 60,9.3 / 70,11.0 / 50
8,7.3 / 40,8.9 / 10,7.2 / 60,8.3 / 80,4.9 / 40,5.2 / 120,4.3 / 180,10.0 / 150,5.3 / 50,9.2 / 60,9.8 / 70,8.9 / 20
9,6.3 / 40,6.5 / 60,7.9 / 120,7.0 / 120,5.8 / 40,6.7 / 90,4.2 / 250,7.9 / 150,5.5 / 40,7.3 / 40,8.0 / 90,8.7 / 30
